system:index,akurasi,generatif,iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,.geo
598,0.988,29.39254560726389,5102011003,51.075186764239255,41.22405560647409,129.7021824675312,157.68796196272427,"{""type"":""MultiPoint"",""coordinates"":[]}"
599,0.988,30.2486392643828,5102011004,78.07157486464527,34.99162132543229,117.30533779926357,180.8268283946798,"{""type"":""MultiPoint"",""coordinates"":[]}"
600,0.988,33.561920315503876,5102011001,165.81003062950037,36.11689761877918,113.74534730769072,78.88774207793581,"{""type"":""MultiPoint"",""coordinates"":[]}"
601,0.988,30.60762264381559,5102011002,61.704279384095386,22.00905066809552,97.9944472762397,72.5714527172968,"{""type"":""MultiPoint"",""coordinates"":[]}"
602,0.988,11.325714072899904,5102011009,25.999938881177748,44.32283093718897,38.42339347963826,45.39375629359816,"{""type"":""MultiPoint"",""coordinates"":[]}"
603,0.988,5.8070961884622045,5102011010,18.782891709678516,24.11275720810834,32.71705846059762,31.71139745526475,"{""type"":""MultiPoint"",""coordinates"":[]}"
604,0.988,0.47106606137743184,5102012011,58.868081074230716,8.21439900707769,90.9194433509617,1.44665236864277,"{""type"":""MultiPoint"",""coordinates"":[]}"
605,0.988,1.0316383556051814,5102012010,15.030617522307729,0.8617608940932326,14.13093905415853,35.20496777013432,"{""type"":""MultiPoint"",""coordinates"":[]}"
606,0.988,6.895622305872304,5102012001,49.82841212031331,11.097262961018876,39.27796805834003,19.19994891491461,"{""type"":""MultiPoint"",""coordinates"":[]}"
607,0.988,2.894239212203679,5102012008,32.699159503544855,27.376627179469725,32.534245733044195,9.001578206894814,"{""type"":""MultiPoint"",""coordinates"":[]}"
608,0.988,0.05904771692612592,5102012009,2.746288090090285,1.1929899317243993,1.7759256179271017,0.4611302758430032,"{""type"":""MultiPoint"",""coordinates"":[]}"
609,0.988,0.37371554249482997,5102012006,11.61420887491861,3.263247562339634,6.594893094709811,1.9294483863381775,"{""type"":""MultiPoint"",""coordinates"":[]}"
610,0.988,0.3637121200501685,5102012007,11.982365997278556,2.596948201449525,7.76457142645145,1.251310308718214,"{""type"":""MultiPoint"",""coordinates"":[]}"
611,0.988,2.1752016562308523,5102012004,74.97929635971958,22.052634770256514,76.76489717791381,10.227583423689293,"{""type"":""MultiPoint"",""coordinates"":[]}"
612,0.988,0.20549328989066332,5102012005,6.366476928842579,1.6724860146197147,6.661510552475874,2.099480522401099,"{""type"":""MultiPoint"",""coordinates"":[]}"
613,0.988,0.8555321947165097,5102012002,128.88677112465135,10.18901933930042,122.91827840780833,10.153318004605167,"{""type"":""MultiPoint"",""coordinates"":[]}"
614,0.988,6.127130899741978,5102012003,19.822092090753312,68.72091892299285,51.503167122575206,21.211724298849663,"{""type"":""MultiPoint"",""coordinates"":[]}"
615,0.988,18.631553123875076,5102020009,39.270297833670774,47.65586184247187,69.60622988793457,38.57657822886753,"{""type"":""MultiPoint"",""coordinates"":[]}"
616,0.988,20.091102268832326,5102020007,27.022246132202206,55.01467310598352,77.63682898827683,19.632203991244474,"{""type"":""MultiPoint"",""coordinates"":[]}"
617,0.988,7.589178544491036,5102020008,17.33889315950279,22.103279950764993,27.106761090028044,32.42130069588454,"{""type"":""MultiPoint"",""coordinates"":[]}"
618,0.988,2.762110417564241,5102020014,19.007734478987196,27.57995988736021,40.39894709959735,24.13937688006237,"{""type"":""MultiPoint"",""coordinates"":[]}"
619,0.988,27.904662990100356,5102020015,63.017659327105264,67.49283496476708,144.7386707510795,92.53964277590289,"{""type"":""MultiPoint"",""coordinates"":[]}"
620,0.988,9.110287705461097,5102020012,19.298774059867135,15.823600993365138,24.966215730423244,45.58840847517428,"{""type"":""MultiPoint"",""coordinates"":[]}"
621,0.988,12.5640810225423,5102020013,24.54898999792957,38.46405120052567,109.51537279158036,65.44400928704968,"{""type"":""MultiPoint"",""coordinates"":[]}"
622,0.988,11.834863307578877,5102020010,27.5995909801767,34.664517656561166,63.18628378869161,41.64999512613927,"{""type"":""MultiPoint"",""coordinates"":[]}"
623,0.988,30.02613377552706,5102020011,50.98627208974799,46.39438933627253,71.95981751309262,88.73905207500391,"{""type"":""MultiPoint"",""coordinates"":[]}"
624,0.988,1.6161913833797679,5102020005,15.559739126024454,5.7746150127216405,31.303664125019168,15.915816143116682,"{""type"":""MultiPoint"",""coordinates"":[]}"
625,0.988,9.760134510701496,5102020006,23.072600007372106,12.6326025639912,33.463605938194235,25.88868399009561,"{""type"":""MultiPoint"",""coordinates"":[]}"
626,0.988,2.007757876898073,5102020003,21.672735498034957,8.958689374593076,17.968531889181747,18.048545688787748,"{""type"":""MultiPoint"",""coordinates"":[]}"
627,0.988,58.99907486659631,5102020004,14.694229660824051,28.36702416349521,84.89376216228376,20.982782665345432,"{""type"":""MultiPoint"",""coordinates"":[]}"
